categoria_id,nombre,descripcion,precio,imagen_url,disponible
"cuartos","Cuarto Choricero","Un cuarto de pollo a la brasa, chorizo, papas fritas y ensalada.","22.00","",TRUE
"cuartos","Salchitodo","Un cuarto de pollo a la brasa, frankfurter, papas fritas y ensalada.","22.00","",TRUE
"cuartos","Mostrazo","Un cuarto de pollo a la brasa, porción de arroz chaufa y papas fritas.","22.00","",TRUE
"cuartos","Cuarto Anticuchero","Un cuarto de pollo a la brasa, porción de anticuchos, papas y ensalada.","22.00","",TRUE
"cuartos","Cuarto Mollejero","Un cuarto de pollo a la brasa, papas fritas, mollejitas y ensalada.","22.00","",TRUE
"cuartos","Cuarto a lo Pobre","Un cuarto de pollo a la brasa, papas fritas, huevo frito y plátano frito.","22.00","",TRUE
"cuartos","Pack Personal","1/4 de pollo a la brasa, papas fritas y gaseosa.","20.00","",TRUE
"cuartos","Promo para Colegios","Un cuarto de pollo a la brasa, papas fritas (Precio especial estudiante).","10.00","",TRUE
"pollos","Pollo Entero","Pollo a la brasa entero, papas fritas y ensalada.","60.00","",TRUE
"pollos","Medio Pollo","Medio pollo a la brasa, papas fritas y ensalada.","35.00","",TRUE
"pollos","Cuarto de Pollo (Clásico)","Un cuarto de pollo a la brasa, papas fritas y ensalada.","18.00","",TRUE
"pollos","Octavo de Pollo","Un octavo de pollo a la brasa, papas fritas y ensalada.","15.00","",TRUE
"pollos","Pack Pollo Entero I","Pollo entero, papas fritas, cremas y gaseosa de litro.","70.00","",TRUE
"pollos","Miércoles de Pollito\n(Entero)","Oferta especial de miércoles: Pollo entero a la brasa.","50.00","",TRUE
"pollos","Miércoles de Pollito\n(Medio)","Oferta especial de miércoles: Medio pollo a la brasa.","25.00","",TRUE
"bebidas","Bebida Personal","Pepsi, 355 ml.","2.00","",TRUE
"bebidas","Agua Mineral (San Mateo)","San Mateo, 600ml.","3.00","",TRUE
"bebidas","Agua Mineral (Cielo)","Agua Cielo, 1 litro.","4.00","",TRUE
